size,composition,latency
4,beta,4.650000
8,beta,10.170000
16,beta,22.720000
32,beta,20.490000
64,beta,20.370000
128,beta,24.090000
256,beta,23.510000
512,beta,25.030000
1024,beta,25.230000
2048,beta,19.050000
4096,beta,24.120000
8192,beta,24.540000
16384,beta,24.450000
32768,beta,24.530000
65536,beta,24.580000
131072,beta,24.780000
262144,beta,25.930000
524288,beta,28.590000
1048576,beta,27.900000
2097152,beta,28.300000
4194304,beta,28.260000
8388608,beta,28.410000
16777216,beta,28.510000
33554432,beta,29.370000
67108864,beta,84.430000
