size,composition,latency
4,4comms4streams,65.160000
8,4comms4streams,69.850000
16,4comms4streams,136.830000
32,4comms4streams,181.960000
64,4comms4streams,125.830000
128,4comms4streams,123.360000
256,4comms4streams,136.560000
512,4comms4streams,124.210000
1024,4comms4streams,141.260000
2048,4comms4streams,125.100000
4096,4comms4streams,129.090000
8192,4comms4streams,138.760000
16384,4comms4streams,136.820000
32768,4comms4streams,199.710000
65536,4comms4streams,230.320000
131072,4comms4streams,234.380000
262144,4comms4streams,266.010000
524288,4comms4streams,406.520000
1048576,4comms4streams,482.620000
2097152,4comms4streams,781.490000
4194304,4comms4streams,1446.310000
8388608,4comms4streams,2743.230000
16777216,4comms4streams,5615.420000
33554432,4comms4streams,13255.590000
67108864,4comms4streams,26170.370000
134217728,4comms4streams,53048.020000
268435456,4comms4streams,103680.450000
536870912,4comms4streams,206628.790000
