size,backend,trial,latency
16384,mpichccl,1,42.4100
32768,mpichccl,1,42.0700
65536,mpichccl,1,61.5500
131072,mpichccl,1,58.3000
262144,mpichccl,1,63.0800
524288,mpichccl,1,73.9100
1048576,mpichccl,1,85.5100
4,mpichccl,2,37.7200
8,mpichccl,2,43.2900
16,mpichccl,2,40.7500
32,mpichccl,2,40.9300
64,mpichccl,2,35.7500
128,mpichccl,2,35.8600
256,mpichccl,2,36.2200
512,mpichccl,2,36.3700
1024,mpichccl,2,36.9900
2048,mpichccl,2,37.9100
4096,mpichccl,2,38.9800
8192,mpichccl,2,43.2300
16384,mpichccl,2,42.9100
32768,mpichccl,2,42.6500
65536,mpichccl,2,62.5100
131072,mpichccl,2,59.3300
262144,mpichccl,2,63.9700
524288,mpichccl,2,74.5500
1048576,mpichccl,2,86.4600
4,mpichccl,3,37.1500
8,mpichccl,3,37.3200
16,mpichccl,3,42.5300
32,mpichccl,3,43.0400
64,mpichccl,3,40.0500
128,mpichccl,3,40.4200
256,mpichccl,3,40.2600
512,mpichccl,3,40.6900
1024,mpichccl,3,40.4600
2048,mpichccl,3,40.8700
4096,mpichccl,3,42.1500
8192,mpichccl,3,46.4300
16384,mpichccl,3,45.8700
32768,mpichccl,3,47.0900
65536,mpichccl,3,64.6600
131072,mpichccl,3,59.6800
262144,mpichccl,3,65.1400
524288,mpichccl,3,75.8200
1048576,mpichccl,3,88.2200
4,mpichccl,4,40.1200
8,mpichccl,4,43.6500
16,mpichccl,4,44.0600
32,mpichccl,4,43.3700
64,mpichccl,4,39.9300
128,mpichccl,4,40.1900
256,mpichccl,4,41.2300
512,mpichccl,4,41.6500
1024,mpichccl,4,41.7400
2048,mpichccl,4,42.7400
4096,mpichccl,4,45.0000
8192,mpichccl,4,47.9700
16384,mpichccl,4,47.8000
32768,mpichccl,4,47.1600
65536,mpichccl,4,64.3400
131072,mpichccl,4,64.1800
262144,mpichccl,4,65.0800
524288,mpichccl,4,75.6900
1048576,mpichccl,4,87.5800
4,mpichccl,5,35.1600
8,mpichccl,5,35.0500
16,mpichccl,5,43.0300
32,mpichccl,5,36.9200
64,mpichccl,5,38.5800
128,mpichccl,5,35.9200
256,mpichccl,5,36.2600
512,mpichccl,5,36.1200
1024,mpichccl,5,36.8200
2048,mpichccl,5,38.0400
4096,mpichccl,5,39.4500
8192,mpichccl,5,43.6200
16384,mpichccl,5,43.4900
32768,mpichccl,5,42.3900
65536,mpichccl,5,62.0500
131072,mpichccl,5,58.3200
262144,mpichccl,5,63.9700
524288,mpichccl,5,74.4800
1048576,mpichccl,5,86.3800
