size,backend,trial,latency
16384,mpichccl,1,42.2000
32768,mpichccl,1,41.7400
65536,mpichccl,1,62.1400
131072,mpichccl,1,58.0500
262144,mpichccl,1,63.0500
524288,mpichccl,1,69.6500
1048576,mpichccl,1,79.4900
4,mpichccl,2,38.5500
8,mpichccl,2,34.9600
16,mpichccl,2,35.0200
32,mpichccl,2,35.0600
64,mpichccl,2,33.9300
128,mpichccl,2,35.2400
256,mpichccl,2,35.9800
512,mpichccl,2,34.7200
1024,mpichccl,2,35.5000
2048,mpichccl,2,36.6800
4096,mpichccl,2,38.8200
8192,mpichccl,2,43.2900
16384,mpichccl,2,42.6600
32768,mpichccl,2,42.3100
65536,mpichccl,2,62.3800
131072,mpichccl,2,58.6600
262144,mpichccl,2,63.1400
524288,mpichccl,2,69.9900
1048576,mpichccl,2,79.9200
4,mpichccl,3,37.3900
8,mpichccl,3,33.6800
16,mpichccl,3,34.0700
32,mpichccl,3,36.2500
64,mpichccl,3,33.6500
128,mpichccl,3,37.2000
256,mpichccl,3,34.3400
512,mpichccl,3,34.8500
1024,mpichccl,3,35.5900
2048,mpichccl,3,36.6200
4096,mpichccl,3,38.9600
8192,mpichccl,3,43.6000
16384,mpichccl,3,43.3600
32768,mpichccl,3,42.9800
65536,mpichccl,3,64.0100
131072,mpichccl,3,59.3500
262144,mpichccl,3,64.9100
524288,mpichccl,3,71.5200
1048576,mpichccl,3,81.1100
4,mpichccl,4,39.9600
8,mpichccl,4,39.0200
16,mpichccl,4,34.9100
32,mpichccl,4,36.8300
64,mpichccl,4,35.8000
128,mpichccl,4,36.8700
256,mpichccl,4,38.3900
512,mpichccl,4,35.3800
1024,mpichccl,4,35.8000
2048,mpichccl,4,36.7400
4096,mpichccl,4,39.4100
8192,mpichccl,4,44.4800
16384,mpichccl,4,42.8800
32768,mpichccl,4,43.1200
65536,mpichccl,4,65.6800
131072,mpichccl,4,60.2200
262144,mpichccl,4,65.2200
524288,mpichccl,4,71.6500
1048576,mpichccl,4,81.4400
4,mpichccl,5,37.8100
8,mpichccl,5,34.2300
16,mpichccl,5,34.1000
32,mpichccl,5,34.8600
64,mpichccl,5,33.9800
128,mpichccl,5,37.4500
256,mpichccl,5,35.4100
512,mpichccl,5,36.0500
1024,mpichccl,5,36.6200
2048,mpichccl,5,37.0800
4096,mpichccl,5,39.1200
8192,mpichccl,5,44.5500
16384,mpichccl,5,42.5500
32768,mpichccl,5,43.5300
65536,mpichccl,5,64.6400
131072,mpichccl,5,59.1800
262144,mpichccl,5,63.7000
524288,mpichccl,5,70.3800
1048576,mpichccl,5,80.1800
4,mpichccl,6,37.7600
8,mpichccl,6,40.9600
16,mpichccl,6,35.3900
32,mpichccl,6,34.6000
64,mpichccl,6,34.3900
128,mpichccl,6,34.5000
256,mpichccl,6,34.9000
512,mpichccl,6,35.3100
1024,mpichccl,6,37.1700
2048,mpichccl,6,39.7800
4096,mpichccl,6,42.6600
8192,mpichccl,6,46.6300
16384,mpichccl,6,45.4000
32768,mpichccl,6,45.2400
65536,mpichccl,6,63.8900
131072,mpichccl,6,58.9300
262144,mpichccl,6,64.1800
524288,mpichccl,6,70.9700
1048576,mpichccl,6,81.6800
4,mpichccl,7,38.9000
8,mpichccl,7,36.4200
16,mpichccl,7,33.9000
32,mpichccl,7,33.9400
64,mpichccl,7,33.9700
128,mpichccl,7,35.6400
256,mpichccl,7,36.0700
512,mpichccl,7,34.9000
1024,mpichccl,7,35.6100
2048,mpichccl,7,36.5700
4096,mpichccl,7,38.1600
8192,mpichccl,7,42.9600
16384,mpichccl,7,42.4600
32768,mpichccl,7,42.1900
65536,mpichccl,7,62.1400
131072,mpichccl,7,58.4000
262144,mpichccl,7,63.1300
524288,mpichccl,7,70.3900
1048576,mpichccl,7,79.9400
4,mpichccl,8,39.1700
8,mpichccl,8,38.4600
16,mpichccl,8,36.3200
32,mpichccl,8,36.2600
64,mpichccl,8,36.2600
128,mpichccl,8,37.5500
256,mpichccl,8,34.8400
512,mpichccl,8,35.1000
1024,mpichccl,8,35.9300
2048,mpichccl,8,36.9800
4096,mpichccl,8,39.0500
8192,mpichccl,8,43.5800
16384,mpichccl,8,42.5900
32768,mpichccl,8,42.1600
65536,mpichccl,8,62.9700
131072,mpichccl,8,58.8900
262144,mpichccl,8,64.3800
524288,mpichccl,8,71.1000
1048576,mpichccl,8,81.3400
4,mpichccl,9,38.8800
8,mpichccl,9,38.1100
16,mpichccl,9,36.9900
32,mpichccl,9,37.2400
64,mpichccl,9,37.3000
128,mpichccl,9,41.0400
256,mpichccl,9,38.0600
512,mpichccl,9,37.8200
1024,mpichccl,9,38.5900
2048,mpichccl,9,39.7000
4096,mpichccl,9,41.4000
8192,mpichccl,9,46.5300
16384,mpichccl,9,46.3700
32768,mpichccl,9,46.2800
65536,mpichccl,9,62.3800
131072,mpichccl,9,60.6800
262144,mpichccl,9,65.7700
524288,mpichccl,9,72.0700
1048576,mpichccl,9,81.1900
4,mpichccl,10,37.5100
8,mpichccl,10,37.6800
16,mpichccl,10,33.8300
32,mpichccl,10,33.9500
64,mpichccl,10,33.9800
