size,backend,trial,latency
65536,rccl,1,34.0900
131072,rccl,1,34.9000
262144,rccl,1,37.5600
524288,rccl,1,43.6500
1048576,rccl,1,54.4100
4,rccl,2,26.5400
8,rccl,2,28.8700
16,rccl,2,28.1900
32,rccl,2,29.3600
64,rccl,2,26.6900
128,rccl,2,26.7100
256,rccl,2,26.7100
512,rccl,2,26.8000
1024,rccl,2,26.8900
2048,rccl,2,27.2600
4096,rccl,2,28.3800
8192,rccl,2,28.4700
16384,rccl,2,28.6200
32768,rccl,2,33.4000
65536,rccl,2,33.7900
131072,rccl,2,34.9300
262144,rccl,2,37.9100
524288,rccl,2,44.1700
1048576,rccl,2,54.8300
4,rccl,3,26.8300
8,rccl,3,30.0500
16,rccl,3,30.9200
32,rccl,3,29.2000
64,rccl,3,27.0000
128,rccl,3,27.1400
256,rccl,3,27.1800
512,rccl,3,27.2500
1024,rccl,3,27.3300
2048,rccl,3,27.6100
4096,rccl,3,28.5300
8192,rccl,3,28.5000
16384,rccl,3,28.6000
32768,rccl,3,33.5000
65536,rccl,3,33.7700
131072,rccl,3,34.8400
262144,rccl,3,37.8500
524288,rccl,3,44.1300
1048576,rccl,3,54.7900
4,rccl,4,26.8700
8,rccl,4,29.7100
16,rccl,4,27.9900
32,rccl,4,29.5100
64,rccl,4,26.9700
128,rccl,4,27.0000
256,rccl,4,27.0200
512,rccl,4,27.9200
1024,rccl,4,27.1700
2048,rccl,4,27.4700
4096,rccl,4,28.6300
8192,rccl,4,28.6500
16384,rccl,4,28.9200
32768,rccl,4,33.4800
65536,rccl,4,33.9300
131072,rccl,4,34.9200
262144,rccl,4,37.8900
524288,rccl,4,44.0300
1048576,rccl,4,54.6500
4,rccl,5,26.5500
8,rccl,5,29.4100
16,rccl,5,28.5500
32,rccl,5,30.1700
64,rccl,5,26.5700
128,rccl,5,26.5700
256,rccl,5,26.6300
512,rccl,5,26.7000
1024,rccl,5,26.7600
2048,rccl,5,27.1200
4096,rccl,5,28.0400
8192,rccl,5,28.3000
16384,rccl,5,28.5000
32768,rccl,5,33.5300
65536,rccl,5,33.9600
131072,rccl,5,35.0100
262144,rccl,5,37.8300
524288,rccl,5,44.0300
1048576,rccl,5,54.6900
4,rccl,6,29.3100
8,rccl,6,31.1800
16,rccl,6,31.6700
32,rccl,6,29.3900
64,rccl,6,27.4000
128,rccl,6,27.2200
256,rccl,6,27.3300
512,rccl,6,27.3900
1024,rccl,6,27.5800
2048,rccl,6,27.9000
4096,rccl,6,28.6200
8192,rccl,6,28.7500
16384,rccl,6,28.8800
32768,rccl,6,33.6100
65536,rccl,6,33.8700
131072,rccl,6,34.8100
262144,rccl,6,37.5900
524288,rccl,6,43.5900
1048576,rccl,6,54.3800
4,rccl,7,26.7800
8,rccl,7,29.5500
16,rccl,7,27.4900
32,rccl,7,28.9300
64,rccl,7,26.7300
128,rccl,7,26.7600
256,rccl,7,26.8200
512,rccl,7,26.9000
1024,rccl,7,26.9900
2048,rccl,7,27.4000
4096,rccl,7,28.3900
8192,rccl,7,28.5200
16384,rccl,7,28.5800
32768,rccl,7,33.2900
65536,rccl,7,33.6100
131072,rccl,7,34.8000
262144,rccl,7,37.8100
524288,rccl,7,43.7600
1048576,rccl,7,54.5400
4,rccl,8,27.9100
8,rccl,8,29.9800
16,rccl,8,31.1000
32,rccl,8,28.7700
64,rccl,8,26.9300
128,rccl,8,26.9300
256,rccl,8,27.0400
512,rccl,8,27.1100
1024,rccl,8,27.2500
2048,rccl,8,27.6300
4096,rccl,8,28.4900
8192,rccl,8,28.5800
16384,rccl,8,28.6700
32768,rccl,8,33.7000
65536,rccl,8,33.8800
131072,rccl,8,34.8800
262144,rccl,8,37.6600
524288,rccl,8,43.8100
1048576,rccl,8,54.5100
4,rccl,9,29.8500
8,rccl,9,34.9400
