size,backend,trial,latency
16384,mpichccl,1,76.0700
32768,mpichccl,1,83.4600
65536,mpichccl,1,102.2300
131072,mpichccl,1,125.4700
262144,mpichccl,1,168.5700
524288,mpichccl,1,252.0600
1048576,mpichccl,1,394.6900
4,mpichccl,2,46.2500
8,mpichccl,2,47.4400
16,mpichccl,2,41.2900
32,mpichccl,2,49.8100
64,mpichccl,2,41.8100
128,mpichccl,2,41.5100
256,mpichccl,2,0.0000
512,mpichccl,2,40.7500
1024,mpichccl,2,0.0000
2048,mpichccl,2,44.3400
4096,mpichccl,2,47.2100
8192,mpichccl,2,61.5900
16384,mpichccl,2,74.9100
32768,mpichccl,2,82.7100
65536,mpichccl,2,101.3000
131072,mpichccl,2,124.0900
262144,mpichccl,2,166.4700
524288,mpichccl,2,249.5300
1048576,mpichccl,2,388.9600
4,mpichccl,3,63.5200
8,mpichccl,3,44.5300
16,mpichccl,3,41.9400
32,mpichccl,3,41.7100
64,mpichccl,3,40.7000
128,mpichccl,3,40.5400
256,mpichccl,3,40.7500
512,mpichccl,3,40.9900
1024,mpichccl,3,41.6600
2048,mpichccl,3,44.1700
4096,mpichccl,3,46.7800
8192,mpichccl,3,62.5300
16384,mpichccl,3,75.2000
32768,mpichccl,3,82.7600
65536,mpichccl,3,101.3100
131072,mpichccl,3,124.1500
262144,mpichccl,3,165.9700
524288,mpichccl,3,246.2400
1048576,mpichccl,3,385.9100
4,mpichccl,4,60.5500
8,mpichccl,4,44.8100
16,mpichccl,4,43.9400
32,mpichccl,4,45.6700
64,mpichccl,4,41.2800
128,mpichccl,4,41.2500
256,mpichccl,4,40.8900
512,mpichccl,4,40.9600
1024,mpichccl,4,0.0000
2048,mpichccl,4,44.0000
4096,mpichccl,4,47.5100
8192,mpichccl,4,61.5000
16384,mpichccl,4,74.0500
32768,mpichccl,4,83.4700
65536,mpichccl,4,102.5000
131072,mpichccl,4,125.8000
262144,mpichccl,4,168.0000
524288,mpichccl,4,250.0600
1048576,mpichccl,4,391.2600
4,mpichccl,5,50.0700
8,mpichccl,5,48.6400
16,mpichccl,5,41.4000
32,mpichccl,5,50.6200
64,mpichccl,5,40.8500
128,mpichccl,5,40.9100
256,mpichccl,5,41.2300
512,mpichccl,5,41.1700
1024,mpichccl,5,41.5900
2048,mpichccl,5,44.1600
4096,mpichccl,5,46.8300
8192,mpichccl,5,63.1400
16384,mpichccl,5,76.1100
32768,mpichccl,5,83.2900
65536,mpichccl,5,101.7800
131072,mpichccl,5,124.9000
262144,mpichccl,5,167.7100
524288,mpichccl,5,248.9200
1048576,mpichccl,5,389.4100
4,mpichccl,6,0.0000
8,mpichccl,6,0.0000
16,mpichccl,6,44.5300
32,mpichccl,6,45.2100
64,mpichccl,6,41.2600
128,mpichccl,6,41.1900
256,mpichccl,6,40.4100
512,mpichccl,6,40.1500
1024,mpichccl,6,40.7800
2048,mpichccl,6,43.3700
4096,mpichccl,6,46.5500
8192,mpichccl,6,62.2000
16384,mpichccl,6,74.7700
32768,mpichccl,6,83.6500
65536,mpichccl,6,102.4500
131072,mpichccl,6,125.9700
262144,mpichccl,6,168.7400
524288,mpichccl,6,250.7900
1048576,mpichccl,6,0.0000
4,mpichccl,7,51.4300
8,mpichccl,7,48.6000
16,mpichccl,7,42.9900
32,mpichccl,7,49.3500
64,mpichccl,7,43.1100
128,mpichccl,7,0.0000
256,mpichccl,7,42.9700
512,mpichccl,7,43.4900
1024,mpichccl,7,43.0700
2048,mpichccl,7,46.7600
4096,mpichccl,7,48.6500
8192,mpichccl,7,63.0900
16384,mpichccl,7,76.8000
32768,mpichccl,7,84.5200
65536,mpichccl,7,103.1600
131072,mpichccl,7,126.4800
262144,mpichccl,7,169.9500
524288,mpichccl,7,252.4500
1048576,mpichccl,7,396.6400
4,mpichccl,8,0.0000
8,mpichccl,8,48.5600
16,mpichccl,8,40.3000
32,mpichccl,8,53.5800
64,mpichccl,8,40.8400
128,mpichccl,8,40.8000
256,mpichccl,8,40.8500
512,mpichccl,8,41.1100
1024,mpichccl,8,41.6400
2048,mpichccl,8,0.0000
4096,mpichccl,8,46.8400
8192,mpichccl,8,62.3100
16384,mpichccl,8,75.1700
32768,mpichccl,8,82.7800
65536,mpichccl,8,101.3800
131072,mpichccl,8,124.7300
262144,mpichccl,8,167.5600
524288,mpichccl,8,248.0900
1048576,mpichccl,8,390.5100
4,mpichccl,9,54.8600
8,mpichccl,9,0.0000
16,mpichccl,9,44.2100
32,mpichccl,9,47.1400
64,mpichccl,9,41.0400
128,mpichccl,9,40.9200
256,mpichccl,9,40.6800
512,mpichccl,9,40.4600
1024,mpichccl,9,41.4900
2048,mpichccl,9,43.8300
4096,mpichccl,9,46.6300
8192,mpichccl,9,62.6700
16384,mpichccl,9,75.4400
32768,mpichccl,9,83.2700
65536,mpichccl,9,102.3300
131072,mpichccl,9,125.3900
262144,mpichccl,9,168.1900
524288,mpichccl,9,251.1100
1048576,mpichccl,9,388.9800
4,mpichccl,10,65.6000
8,mpichccl,10,43.8200
16,mpichccl,10,38.6200
32,mpichccl,10,38.7000
64,mpichccl,10,38.8000
128,mpichccl,10,39.1100
256,mpichccl,10,39.5200
512,mpichccl,10,40.0200
1024,mpichccl,10,40.6300
2048,mpichccl,10,43.2000
4096,mpichccl,10,46.1600
8192,mpichccl,10,61.5500
16384,mpichccl,10,74.0400
32768,mpichccl,10,83.7100
65536,mpichccl,10,102.6800
131072,mpichccl,10,126.1700
262144,mpichccl,10,168.9800
524288,mpichccl,10,252.5000
1048576,mpichccl,10,396.2400
4,rccl,1,58.8900
8,rccl,1,45.4700
16,rccl,1,43.6400
32,rccl,1,45.3100
64,rccl,1,39.4700
128,rccl,1,39.3900
256,rccl,1,39.8700
512,rccl,1,40.0600
1024,rccl,1,40.9600
2048,rccl,1,0.0000
4096,rccl,1,0.0000
8192,rccl,1,61.8900
16384,rccl,1,74.9300
32768,rccl,1,83.1700
65536,rccl,1,101.9800
131072,rccl,1,125.1200
262144,rccl,1,167.2400
524288,rccl,1,249.7700
1048576,rccl,1,390.2400
4,rccl,2,51.8700
8,rccl,2,0.0000
16,rccl,2,43.5800
32,rccl,2,44.3600
64,rccl,2,0.0000
128,rccl,2,40.4000
